Mes,Qtd_Pedidos,Faturamento_Total,Ticket_Medio,Maior_Venda,Menor_Venda
2018-11,194,51447.05,265.19,1269.3,24.02
2018-12,280,59078.25,210.99,1636.97,25.94
2019-01,130,29994.83,230.73,1571.68,32.69
2019-02,288,69114.73,239.98,1424.37,24.3
2019-03,170,38237.65,224.93,1395.5,25.94
2019-04,138,32811.48,237.76,1972.8,37.49
2019-05,194,48249.07,248.71,1326.38,21.67
2019-06,189,48939.92,258.94,1910.32,25.55
2019-07,137,28393.5,207.25,917.88,30.13
2019-08,136,32974.06,242.46,1724.9,31.66
2019-09,176,40170.04,228.24,1276.67,27.9
2019-10,186,45204.23,243.03,2209.85,27.51
2019-11,183,44437.02,242.83,2181.9,30.95
2019-12,265,61415.69,231.76,1461.03,28.69
2020-01,113,31023.48,274.54,1672.76,24.53
2020-02,318,75692.47,238.03,1612.72,25.19
2020-03,176,40993.66,232.92,1236.32,26.01
2020-04,163,40803.51,250.33,1813.16,30.34
2020-05,178,41899.87,235.39,1477.4,30.52
2020-06,199,43632.63,219.26,1089.51,30.68
2020-07,156,46517.11,298.19,1870.16,29.14
2020-08,158,39422.96,249.51,1361.46,30.95
2020-09,188,41230.68,219.31,1024.08,27.66
2020-10,180,36859.23,204.77,1436.4,29.62
2020-11,213,60011.96,281.75,2283.52,31.73
2020-12,246,58191.72,236.55,1602.92,30.7
2021-01,131,30436.25,232.34,1951.6,29.26
2021-02,277,64452.0,232.68,1448.37,24.74
2021-03,167,39623.77,237.27,1499.2,26.18
2021-04,163,41016.61,251.64,1449.36,27.52
2021-05,187,40086.06,214.36,1800.7,27.87
2021-06,207,51644.03,249.49,2339.8,26.86
2021-07,146,39163.45,268.24,1410.06,29.03
2021-08,140,33918.39,242.27,1538.12,33.32
2021-09,167,34154.68,204.52,897.55,25.73
2021-10,194,44466.96,229.21,1906.2,29.3
2021-11,201,49167.44,244.61,1760.12,28.01
2021-12,254,59739.95,235.2,1651.08,26.51
2022-01,123,29289.23,238.12,1395.8,35.89
2022-02,300,70453.27,234.84,1508.55,26.13
2022-03,166,41497.55,249.99,1527.96,27.96
2022-04,143,36601.82,255.96,2430.4,24.79
2022-05,174,45901.95,263.8,1507.24,25.46
2022-06,199,44531.91,223.78,1407.75,23.49
2022-07,139,31337.36,225.45,1337.82,29.99
2022-08,126,33807.87,268.32,1637.88,23.96
2022-09,178,44582.38,250.46,1857.02,26.97
2022-10,173,39201.61,226.6,1446.48,34.04
2022-11,176,37980.69,215.8,1010.72,30.29
2022-12,285,62769.34,220.24,1417.47,26.38
2023-01,143,35123.79,245.62,1738.6,22.32
2023-02,293,65097.15,222.17,1358.64,22.54
2023-03,163,36477.81,223.79,1711.6,22.39
2023-04,171,47340.74,276.85,2042.5,26.47
2023-05,157,39695.62,252.84,2355.35,25.98
2023-06,220,51269.01,233.04,1660.4,26.67
2023-07,148,32476.32,219.43,1006.86,30.53
2023-08,158,33654.7,213.0,1237.83,30.56
2023-09,154,33470.53,217.34,1440.08,22.08
2023-10,176,47287.76,268.68,2100.25,26.08
2023-11,179,48500.74,270.95,1709.7,22.56
2023-12,288,70694.21,245.47,1710.75,25.5
2024-01,131,32593.15,248.8,1884.6,34.88
2024-02,307,73536.55,239.53,1524.48,26.46
2024-03,190,44993.17,236.81,1781.32,31.71
2024-04,171,42733.17,249.9,1419.3,26.79
2024-05,177,42965.65,242.74,1270.71,33.26
2024-06,223,51523.38,231.05,1615.6,24.84
2024-07,144,37600.77,261.12,2441.35,25.15
2024-08,158,36051.68,228.18,1506.44,28.81
2024-09,178,47212.73,265.24,1861.28,30.7
2024-10,196,43059.34,219.69,1291.5,23.89
2024-11,178,42750.93,240.17,1973.0,34.89
2024-12,272,66172.77,243.28,1427.8,27.53
2025-01,132,31538.9,238.93,1448.82,32.63
2025-02,293,81196.81,277.12,2222.35,31.78
2025-03,175,38731.38,221.32,1375.41,25.57
2025-04,174,46073.58,264.79,2169.35,29.98
2025-05,170,40737.1,239.63,1151.45,25.5
2025-06,207,47150.57,227.78,1646.57,31.28
2025-07,132,34286.36,259.75,1853.65,30.91
2025-08,132,33534.75,254.05,1402.95,30.65
2025-09,169,39031.24,230.95,1992.32,24.34
2025-10,178,40880.49,229.67,1084.29,27.69
2025-11,204,49063.84,240.51,2070.9,26.26
2025-12,250,60792.98,243.17,1655.44,30.81
2026-01,139,35002.84,251.82,2252.3,26.99
2026-02,303,73287.09,241.87,1930.36,26.45
2026-03,193,48040.22,248.91,1328.4,28.1
2026-04,144,32168.89,223.4,1211.61,34.29
2026-05,167,37737.79,225.97,1914.7,32.74
2026-06,199,44558.99,223.91,1188.6,30.64
2026-07,131,34684.29,264.77,1186.68,32.05
2026-08,150,42160.33,281.07,1876.35,27.95
2026-09,159,39442.82,248.07,1411.21,23.58
2026-10,222,61822.36,278.48,2185.06,31.38
2026-11,224,53993.68,241.04,1943.24,27.58
2026-12,243,58507.18,240.77,1840.85,21.13
